Id,ActivityDate,TotalSteps,TotalDistance,SedentaryMinutes,TotalMinutesAsleep,TotalTimeInBed,TotalSleepRecords,Sleep_Pattern,Idle_minutes_on_bed
1503960366,2016-04-12,13162,8.5,728,327,346,1,Poor Sleep,19
1503960366,2016-05-01,10602,6.809999943,730,369,396,1,Poor Sleep,27
1503960366,2016-05-02,14727,9.710000038,798,277,309,1,Poor Sleep,32
1503960366,2016-05-03,15103,9.659999847,816,273,296,1,Poor Sleep,23
1503960366,2016-05-05,14070,8.899999619,857,247,264,1,Poor Sleep,17
1503960366,2016-05-06,12159,8.029999733,754,334,367,1,Poor Sleep,33
1503960366,2016-05-07,11992,7.710000038,833,331,349,1,Poor Sleep,18
1503960366,2016-05-08,10060,6.579999924,574,594,611,1,Excess Sleep,17
1503960366,2016-05-09,12022,7.71999979,835,338,342,1,Poor Sleep,4
1503960366,2016-05-10,12207,7.769999981,746,383,403,1,Poor Sleep,20
1503960366,2016-05-11,12770,8.130000114,669,285,306,1,Poor Sleep,21
1644430081,2016-05-02,3758,2.730000019,682,796,961,1,Excess Sleep,165
1644430081,2016-05-08,6724,4.889999866,991,137,154,1,Poor Sleep,17
1844505072,2016-05-01,2573,1.700000048,585,590,961,1,Excess Sleep,371
1927972279,2016-04-12,678,0.469999999,734,750,775,3,Excess Sleep,25
2026352035,2016-04-12,4414,2.74000001,706,503,546,1,Good Sleep,43
2026352035,2016-05-01,3609,2.279999971,716,527,546,1,Good Sleep,19
2026352035,2016-05-02,7018,4.349999905,716,511,543,1,Good Sleep,32
2026352035,2016-05-04,6564,4.070000172,530,538,560,1,Good Sleep,22
2026352035,2016-05-05,12167,7.539999962,479,468,485,1,Good Sleep,17
2026352035,2016-05-06,8198,5.079999924,511,524,548,1,Good Sleep,24
2026352035,2016-05-07,4193,2.599999905,665,511,521,1,Good Sleep,10
2026352035,2016-05-08,5528,3.450000048,610,541,568,1,Excess Sleep,27
2026352035,2016-05-09,10685,6.619999886,543,531,556,1,Good Sleep,25
2026352035,2016-05-10,254,0.159999996,1002,357,380,1,Poor Sleep,23
2026352035,2016-05-11,8580,5.320000172,569,523,553,1,Good Sleep,30
2026352035,2016-05-12,8891,5.510000229,330,456,485,1,Good Sleep,29
3977333714,2016-04-12,8856,5.980000019,777,274,469,1,Poor Sleep,195
3977333714,2016-05-01,10414,7.070000172,691,383,626,1,Poor Sleep,243
3977333714,2016-05-02,16520,11.05000019,713,230,384,1,Poor Sleep,154
3977333714,2016-05-03,14335,9.590000153,594,292,500,1,Poor Sleep,208
3977333714,2016-05-04,13559,9.43999958,852,213,336,1,Poor Sleep,123
3977333714,2016-05-05,12312,8.579999924,680,318,480,1,Poor Sleep,162
3977333714,2016-05-06,11677,8.279999733,676,323,512,1,Poor Sleep,189
3977333714,2016-05-07,11550,7.730000019,703,237,443,1,Poor Sleep,206
3977333714,2016-05-08,13585,9.090000153,688,259,456,2,Poor Sleep,197
3977333714,2016-05-10,13072,8.779999733,676,312,452,1,Poor Sleep,140
4020332650,2016-04-12,8539,6.119999886,712,501,541,1,Good Sleep,40
4020332650,2016-05-03,4496,3.220000029,950,322,332,1,Poor Sleep,10
4020332650,2016-05-04,10252,7.349999905,531,478,536,1,Good Sleep,58
4020332650,2016-05-05,11728,8.430000305,916,226,248,1,Poor Sleep,22
4020332650,2016-05-06,4369,3.130000114,855,385,408,1,Poor Sleep,23
4020332650,2016-05-08,5862,4.199999809,775,364,402,1,Poor Sleep,38
4020332650,2016-05-10,5546,3.980000019,774,442,494,1,Good Sleep,52
4319703577,2016-05-01,1251,0.839999974,836,484,500,1,Good Sleep,16
4319703577,2016-05-02,9261,6.239999771,585,478,506,1,Good Sleep,28
4319703577,2016-05-03,9648,6.46999979,669,474,512,1,Good Sleep,38
4319703577,2016-05-06,9524,6.420000076,692,450,491,1,Good Sleep,41
4319703577,2016-05-07,7937,5.329999924,586,507,530,1,Good Sleep,23
4319703577,2016-05-08,3672,2.460000038,603,602,638,1,Excess Sleep,36
4319703577,2016-05-09,10378,6.960000038,490,535,565,1,Good Sleep,30
4319703577,2016-05-10,9487,6.369999886,555,487,517,1,Good Sleep,30
4319703577,2016-05-11,9129,6.130000114,574,529,558,1,Good Sleep,29
4319703577,2016-05-12,17,0.01,0,302,321,1,Poor Sleep,19
4388161847,2016-05-01,10255,7.889999866,579,547,597,1,Excess Sleep,50
4388161847,2016-05-02,10096,8.399999619,935,368,376,2,Poor Sleep,8
4388161847,2016-05-04,12375,9.520000458,632,390,414,1,Poor Sleep,24
4388161847,2016-05-05,9603,7.380000114,896,471,495,1,Good Sleep,24
4388161847,2016-05-07,22770,17.54000092,508,472,496,1,Good Sleep,24
4388161847,2016-05-08,17298,14.38000011,576,529,541,2,Good Sleep,12
4388161847,2016-05-09,10218,7.860000134,1020,62,65,1,Poor Sleep,3
4388161847,2016-05-10,10299,7.920000076,648,354,375,1,Poor Sleep,21
4388161847,2016-05-11,10201,7.840000153,858,469,494,1,Good Sleep,25
4445114986,2016-04-12,3276,2.200000048,787,429,457,2,Good Sleep,28
4445114986,2016-05-01,5232,3.50999999,741,439,459,2,Good Sleep,20
4445114986,2016-05-02,6910,4.75,667,502,542,1,Good Sleep,40
4445114986,2016-05-03,7502,5.179999828,725,417,450,2,Poor Sleep,33
4445114986,2016-05-04,2923,1.960000038,897,337,363,2,Poor Sleep,26
4445114986,2016-05-05,3800,2.549999952,734,462,513,2,Good Sleep,51
4445114986,2016-05-06,4514,3.029999971,809,374,402,2,Poor Sleep,28
4445114986,2016-05-07,5183,3.589999914,866,401,436,2,Poor Sleep,35
4445114986,2016-05-08,7303,4.900000095,733,361,391,1,Poor Sleep,30
4445114986,2016-05-09,5275,3.539999962,641,457,533,1,Good Sleep,76
4445114986,2016-05-10,3915,2.630000114,783,405,426,1,Poor Sleep,21
4445114986,2016-05-11,9105,6.110000134,622,499,530,1,Good Sleep,31
4445114986,2016-05-12,768,0.519999981,380,483,501,1,Good Sleep,18
4558609924,2016-05-01,3428,2.269999981,1121,115,129,1,Poor Sleep,14
4558609924,2016-05-08,6543,4.329999924,1019,123,134,1,Poor Sleep,11
4702921684,2016-04-12,7213,5.880000114,718,425,439,1,Good Sleep,14
4702921684,2016-05-03,9454,7.670000076,729,327,373,1,Poor Sleep,46
4702921684,2016-05-04,8161,6.619999886,757,412,434,1,Poor Sleep,22
4702921684,2016-05-05,8614,6.989999771,745,414,428,1,Poor Sleep,14
4702921684,2016-05-06,6943,5.630000114,682,404,449,1,Poor Sleep,45
4702921684,2016-05-07,14370,11.64999962,577,520,543,1,Good Sleep,23
4702921684,2016-05-09,8232,6.679999828,746,435,458,1,Good Sleep,23
4702921684,2016-05-10,10613,8.609999657,701,416,431,1,Poor Sleep,15
4702921684,2016-05-11,9810,7.960000038,784,354,366,1,Poor Sleep,12
4702921684,2016-05-12,2752,2.230000019,241,404,442,1,Poor Sleep,38
5553957443,2016-04-12,11596,7.570000172,767,441,464,1,Good Sleep,23
5553957443,2016-05-01,5164,3.369999886,436,622,686,2,Excess Sleep,64
5553957443,2016-05-02,9769,6.380000114,724,409,471,1,Poor Sleep,62
5553957443,2016-05-03,12848,8.390000343,812,380,429,1,Poor Sleep,49
5553957443,2016-05-04,4249,2.769999981,651,447,470,1,Good Sleep,23
5553957443,2016-05-05,14331,9.510000229,692,419,464,1,Poor Sleep,45
5553957443,2016-05-06,9632,6.289999962,761,400,434,1,Poor Sleep,34
5553957443,2016-05-07,1868,1.220000029,902,442,470,1,Good Sleep,28
5553957443,2016-05-08,6083,4,505,568,608,1,Excess Sleep,40
5553957443,2016-05-09,11611,7.579999924,667,453,494,1,Good Sleep,41
5553957443,2016-05-10,16358,10.71000004,707,418,443,1,Poor Sleep,25
5553957443,2016-05-11,4926,3.220000029,628,463,486,1,Good Sleep,23
5553957443,2016-05-12,3121,2.039999962,222,438,475,1,Good Sleep,37
5577150313,2016-04-12,8135,6.079999924,728,419,438,1,Poor Sleep,19
5577150313,2016-05-01,13368,9.989999771,499,379,398,1,Poor Sleep,19
5577150313,2016-05-02,7439,5.559999943,732,525,553,2,Good Sleep,28
5577150313,2016-05-03,11045,8.25,580,508,543,1,Good Sleep,35
5577150313,2016-05-04,5206,3.890000105,631,603,634,1,Excess Sleep,31
5577150313,2016-05-05,7550,5.639999866,1153,74,78,1,Poor Sleep,4
5577150313,2016-05-10,8869,6.650000095,639,504,562,1,Good Sleep,58
5577150313,2016-05-11,4038,3.039999962,257,431,476,1,Good Sleep,45
6117666160,2016-05-01,8915,6.730000019,525,507,575,1,Good Sleep,68
6117666160,2016-05-05,9799,7.400000095,479,392,415,1,Poor Sleep,23
6117666160,2016-05-06,3365,2.680000067,673,658,698,2,Excess Sleep,40
6117666160,2016-05-07,7336,5.539999962,456,498,507,2,Good Sleep,9
6117666160,2016-05-08,7328,5.53000021,517,555,603,1,Excess Sleep,48
6117666160,2016-05-09,4477,3.380000114,125,492,522,1,Good Sleep,30
